Contrato,Idade,Sexo,Valor_Renda,UF_Cliente,Perc_Juros,Prazo_Emprestimo,Data_Contratacao,Prazo_Restante,VL_Emprestimo,VL_Emprestimo_ComJuros,QT_Total_Parcelas_Pagas,QT_Total_Parcelas_Pagas_EmDia,QT_Total_Parcelas_Pagas_EmAtraso,Qt_Renegociacao,Estado_Civil,Escolaridade,Possui_Patrimonio,VL_Patrimonio,QT_Parcelas_Atraso,QT_Dias_Atraso,Saldo_Devedor,Total_Pago,Possivel_Fraude
322075891715,53,F,1500.00,PA,20.0000,200,2022-09-05,193,100000.00,115000.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,13,376,120829.99,355.00,Sim
322075893715,20,F,1400.00,BA,18.0000,25,2022-09-06,13,10000.00,11500.00,10,1,8,2,SOLTEIRO(A),NULL,N,0.00,2,41,4505.84,7699.86,Nao
322075895715,28,M,5600.00,DF,23.0000,200,2022-09-05,227,220000.00,253000.00,14,11,2,2,CASADO (A),NULL,N,0.00,0,NULL,251462.88,13614.48,Nao
322075898715,24,F,1500.00,MG,20.0000,100,2022-09-05,91,30000.00,34500.00,14,14,0,0,CASADO (A),NULL,N,0.00,0,NULL,31218.02,5184.42,Nao
322075899715,40,F,8000.00,MT,20.0000,200,2022-09-05,227,150000.00,172500.00,2,2,0,1,CASADO (A),Nenhum,N,0.00,12,344,181070.78,1125.98,Sim
322075900715,33,F,2500.00,BA,20.0000,200,2022-09-08,193,100000.00,115000.00,8,6,2,2,SOLTEIRO(A),Nenhum,N,0.00,5,133,118230.21,2855.66,Sim
322075901715,48,M,2500.00,MG,21.0000,45,2022-09-05,33,15000.00,17250.00,14,6,6,1,SOLTEIRO(A),NULL,N,0.00,0,NULL,12727.10,5837.95,Nao
322075902715,81,F,6000.00,RJ,26.0000,240,2022-09-06,227,200000.00,230000.00,1,1,0,0,CASADO (A),Nenhum,N,0.00,13,376,253493.16,1058.20,Sim
322075905715,33,F,2036.00,SC,21.0000,80,2022-09-05,74,40000.00,46000.00,5,3,0,1,SOLTEIRO(A),NULL,N,0.00,9,251,46548.98,2425.00,Sim
322075908715,24,F,3690.00,SP,24.0000,36,2022-09-05,23,3700.00,4255.00,1,1,0,1,SOLTEIRO(A),NULL,N,0.00,13,376,4683.81,132.35,Sim
322075912715,32,F,2000.00,MG,21.0000,60,2022-09-05,60,28000.00,32200.00,1,1,0,1,OUTRO,Nenhum,N,0.00,13,376,34020.79,458.42,Sim
322075916715,35,M,12750.00,SP,15.0000,180,2022-09-05,225,400000.00,460000.00,2,2,0,0,OUTRO,Nenhum,N,0.00,12,344,461052.84,5311.10,Sim
322075918715,43,F,23000.00,SP,14.0000,120,2022-09-15,143,250000.00,287500.00,13,3,0,3,DIVORCIADO,NULL,N,0.00,0,NULL,268538.71,19018.42,Nao
322075921715,42,F,3500.00,MT,18.0000,100,2022-09-05,89,100000.00,115000.00,2,2,0,1,CASADO (A),NULL,N,0.00,12,344,117820.00,1919.98,Sim
322075922715,42,F,3000.00,MG,21.0000,80,2022-09-06,74,40000.00,46000.00,6,2,4,1,DIVORCIADO,NULL,N,0.00,8,225,46113.11,2984.98,Sim
